Mode,	 freq_obs,    uncertainty,	freq_prem
,	  (muHz),      	(+/-),	 	 (muHz)
0S2,     309.45,         0.15,       	309.28
0T2,	 377.30, 	 0.80,	 	379.17
2S1,	       , 	     ,	     	403.96
0S3,     468.55,         0.15,  	468.56
0T3,     587.60,	 0.70,		586.16
0S4,	 646.80,	 0.20,		647.07
1S2,	 680.00,	 0.30,		679.85
0T4,	 766.90,	 0.40,		765.66
0S0,	 814.39,	 0.01,		814.31
0S5,	 840.08,	 0.10,		840.42
0T5,	 928.55,	 0.25,		928.24
2S2,	       ,	     ,	 	937.85
1S3,	 939.60,         0.25,          939.85
3S1,	 944.20,	 0.30,		943.95
